# Iteration, avehdxdev, chisquare, lambdamod, deltalambdamod, rate, Bh, Bc, work 
 5500 2.27488251821e-05 7.19478075713e-09 6.58118768831 8.08087694356e-07 0.000141467946025 2.0 0.35 2.54283972944
 5600 2.27461483549e-05 7.15962398398e-09 6.58171034282 7.80629417182e-07 0.000141484594349 2.0 0.35 2.54288540107
 5700 2.27435809045e-05 7.12583525947e-09 6.58221531324 7.54209884399e-07 0.000141500566094 2.0 0.35 2.54292967191
 5800 2.27411168849e-05 7.09334822098e-09 6.58270326269 7.28779721029e-07 0.000141515897802 2.0 0.35 2.54297259503
 5900 2.27387507983e-05 7.06210069499e-09 6.58317482319 7.04292793363e-07 0.000141530623276 2.0 0.35 2.54301422034
 6000 2.27364775528e-05 7.03203435596e-09 6.58363059768 6.80705929105e-07 0.000141544773834 2.0 0.35 2.54305459498
 6100 2.27342924244e-05 7.00309441928e-09 6.58407116191 6.57978663584e-07 0.000141558378546 2.0 0.35 2.54309376349
 6200 2.27321910236e-05 6.97522936453e-09 6.58449706605 6.36073016303e-07 0.000141571464434 2.0 0.35 2.54313176805
 6300 2.27301692642e-05 6.94839068521e-09 6.5849088363 6.14953284825e-07 0.00014158405666 2.0 0.35 2.54316864869
 6400 2.27282233367e-05 6.92253266239e-09 6.58530697625 5.94585860279e-07 0.000141596178695 2.0 0.35 2.54320444346
 6500 2.27263496837e-05 6.8976121593e-09 6.58569196826 5.74939063094e-07 0.000141607852462 2.0 0.35 2.54323918858
 6600 2.27245449778e-05 6.87358843461e-09 6.58606427457 5.55982990298e-07 0.000141619098474 2.0 0.35 2.54327291859
 6700 2.27228061021e-05 6.8504229726e-09 6.58642433849 5.37689380969e-07 0.000141629935956 2.0 0.35 2.54330566646
 6800 2.27211301322e-05 6.82807932808e-09 6.58677258538 5.2003149145e-07 0.00014164038295 2.0 0.35 2.54333746371
 6900 2.27195143207e-05 6.80652298497e-09 6.58710942362 5.02983988262e-07 0.000141650456412 2.0 0.35 2.54336834056
 7000 2.27179560823e-05 6.78572122659e-09 6.58743524549 4.86522839958e-07 0.000141660172303 2.0 0.35 2.54339832593
 7100 2.27164529808e-05 6.76564301698e-09 6.58775042796 4.706252296e-07 0.000141669545669 2.0 0.35 2.54342744759
 7200 2.27150027181e-05 6.74625889188e-09 6.5880553335 4.55269469391e-07 0.000141678590707 2.0 0.35 2.54345573223
 7300 2.27136031226e-05 6.72754085846e-09 6.58835031074 4.40434923765e-07 0.000141687320837 2.0 0.35 2.54348320551
 7400 2.27122521404e-05 6.70946230308e-09 6.58863569518 4.26101940943e-07 0.000141695748757 2.0 0.35 2.54350989212
 7500 2.27109478261e-05 6.69199790606e-09 6.58891180975 4.12251786999e-07 0.000141703886497 2.0 0.35 2.54353581586
 7600 2.27096883354e-05 6.67512356315e-09 6.58918120897 4.127635058e-07 0.000141711745466 2.0 0.35 2.54356099965
 7700 2.27084719174e-05 6.65881631279e-09 6.58944872935 3.99427268633e-07 0.000141719336497 2.0 0.35 2.54358546563
 7800 2.27072969083e-05 6.64305426879e-09 6.5897076207 3.86533972599e-07 0.000141726669889 2.0 0.35 2.54360923516
 7900 2.27061617256e-05 6.62781655793e-09 6.58995816854 3.74067696239e-07 0.00014173375544 2.0 0.35 2.54363232887
 8000 2.27050648626e-05 6.61308326202e-09 6.59020064824 3.6201320271e-07 0.000141740602481 2.0 0.35 2.5436547667
 8100 2.2704004883e-05 6.59883536395e-09 6.59043532539 3.50355896455e-07 0.00014174721991 2.0 0.35 2.54367656794
 8200 2.27029804175e-05 6.58505469777e-09 6.59066245625 3.39081794326e-07 0.000141753616213 2.0 0.35 2.54369775125
