# Iteration, avehdxdev, chisquare, lambdamod, deltalambdamod, rate, Bh, Bc 
    0 0 0.00216566510677 0 0 0.001 2.0 0.35 # INITIAL chisquare before reweighting
    1 0.0223828303991 0.00216566510677 0.219372190558 1.0 3.36801160309e-05 2.0 0.35 
    2 0.0215380059328 0.00194614871437 0.438612749496 0.499849945516 3.50012126142e-05 2.0 0.35 
    3 0.0206176323978 0.00172526962055 0.657703205463 0.333114471918 3.65636708618e-05 2.0 0.35 
    4 0.0195828887585 0.00150831981763 0.876791613691 0.249875118337 3.84956649776e-05 2.0 0.35 
    5 0.0184695036069 0.00130116447553 1.09503593512 0.199303341954 4.08162742748e-05 2.0 0.35 
    6 0.0173433829103 0.00110949613945 1.31109895274 0.164795355204 4.34665098983e-05 2.0 0.35 
    7 0.0161644276336 0.000937448802176 1.52478179043 0.140139945946 4.6636747185e-05 2.0 0.35 
    8 0.0149716635193 0.00078575658905 1.73701795259 0.12218420762 5.03522086218e-05 2.0 0.35 
    9 0.0137636897816 0.000653317057866 1.95026217014 0.109341308471 5.47713830305e-05 2.0 0.35 
   10 0.0125747053652 0.000538032959494 2.16221860428 0.0980272918385 5.99502177622e-05 2.0 0.35 
   11 0.0113973294616 0.00043813375518 2.37164340844 0.0883036646326 6.61432423694e-05 2.0 0.35 
   12 0.0102548292641 0.000352189961572 2.57978143172 0.0806804873926 7.35123233673e-05 2.0 0.35 
   13 0.00915759376918 0.000279283323086 2.78871582411 0.0749213636535 8.23203500769e-05 2.0 0.35 
   14 0.00810473345093 0.000218568615552 2.99515333929 0.0689238552412 9.301432669e-05 2.0 0.35 
   15 0.00711214320508 0.000168957584697 3.20157334553 0.0644745517181 0.000105995661674 2.0 0.35 
   16 0.0061821836647 0.000129178607025 3.40636568678 0.0601204803243 0.000121940137309 2.0 0.35 
   17 0.00532887411145 9.77783311427e-05 3.60940536043 0.0562529429016 0.000141466341515 2.0 0.35 
   18 0.00457684395969 7.33438388051e-05 3.81023311267 0.0527074712494 0.000164710951822 2.0 0.35 
   19 0.00393259657765 5.46479296269e-05 4.00412400439 0.0484227989713 0.000191694294102 2.0 0.35 
   20 0.00335575865418 4.06081557741e-05 4.19166583699 0.0447415991372 0.000224645572768 2.0 0.35 
   21 0.00285836543114 3.0175044619e-05 4.36956142364 0.0407124581628 0.000263736860489 2.0 0.35 
   22 0.00246339262358 2.25441590123e-05 4.53795001168 0.0371067525226 0.000306023618697 2.0 0.35 
   23 0.00215463667309 1.70791907974e-05 4.68997326043 0.0324145235595 0.000349876308315 2.0 0.35 
   24 0.00189762180571 1.31823822708e-05 4.82804822342 0.0285985053598 0.00039726373436 2.0 0.35 
   25 0.00167129342778 1.03396936389e-05 4.95324389212 0.0252754904525 0.00045106162234 2.0 0.35 
   26 0.00147567295864 8.19123205685e-06 5.06721419689 0.0224917085281 0.00051085595933 2.0 0.35 
   27 0.00132518537994 6.55328946097e-06 5.16374367391 0.0186937003692 0.000568868579711 2.0 0.35 
   28 0.0013077592926 6.99742968668e-06 5.27180156943 0.0204973374081 0.00057644883826 2.0 0.35 
   29 0.00450751469181 8.94499234968e-05 5.24195723859 -0.00569335640966 0.000167244341169 2.0 0.35 
   30 0.00533355667733 0.00014253429822 5.31453581941 0.0136566171143 0.000141342141942 2.0 0.35 
   31 0.0048144871541 0.00010252253408 5.28350977189 -0.00587224191132 0.000156580815529 2.0 0.35 
   32 0.00512912788331 0.000132166413752 5.35363722007 0.0130990288088 0.00014697553699 2.0 0.35 
   33 0.00506268796085 0.000113743351966 5.32404534939 -0.00555815526388 0.000148904362815 2.0 0.35 
   34 0.004956832127 0.000123708237569 5.38979021995 0.0121980388619 0.000152084296104 2.0 0.35 
   35 0.00527152780062 0.000123746199534 5.36214679994 -0.00515528966967 0.000143005282995 2.0 0.35 
   36 0.00480988685231 0.000116709458448 5.42572612 0.0117181218974 0.000156730573522 2.0 0.35 
