 0.25049  0.25292  0.27794  0.38266  0.45729
 0.20041  0.20247  0.22363  0.31365  0.38059
 0.14364  0.14751  0.18654  0.33522  0.42843
 0.03956  0.10394  0.24089  0.43401  0.53191
 0.00131  0.00781  0.07375  0.33412  0.51174
 0.05033  0.13215  0.30521  0.54428  0.66114
 0.04263  0.11210  0.26102  0.47626  0.58893
 0.07866  0.20511  0.45486  0.73121  0.83294
 0.06869  0.17869  0.39140  0.62487  0.72512
 0.01655  0.08897  0.41028  0.71739  0.82047
 0.00056  0.00334  0.03266  0.17276  0.30128
 0.00516  0.02972  0.20726  0.44315  0.53222
 0.00551  0.03167  0.21553  0.46447  0.56545
 0.00760  0.04379  0.30308  0.62007  0.71386
 0.08133  0.20587  0.38671  0.59877  0.67669
 0.00560  0.03265  0.25174  0.58440  0.66592
 0.25440  0.47443  0.61060  0.67739  0.73414
 0.25114  0.50950  0.72555  0.84546  0.89230
 0.36565  0.52843  0.68217  0.80000  0.84034
 0.23372  0.41993  0.71860  0.78680  0.82934
 0.31617  0.52981  0.79425  0.81051  0.82047
 0.25508  0.34182  0.52324  0.62690  0.70134
 0.03714  0.14903  0.40791  0.68457  0.77890
 0.04081  0.15933  0.37613  0.63269  0.74206
 0.03071  0.12009  0.28789  0.50734  0.61787
 0.00247  0.01425  0.09804  0.21574  0.29323
 0.00284  0.01635  0.11272  0.24972  0.33975
 0.14078  0.29263  0.46399  0.69904  0.79919
 0.15972  0.35931  0.52354  0.73248  0.82150
 0.25204  0.44903  0.59793  0.84713  0.94122
 0.29910  0.56803  0.81350  0.86744  0.89700
 0.19453  0.41781  0.73719  0.82566  0.85886
 0.04344  0.17303  0.53336  0.73575  0.78060
 0.04071  0.15542  0.49188  0.71172  0.76065
 0.04244  0.15779  0.46944  0.71059  0.78085
 0.09231  0.30155  0.51127  0.56648  0.61587
 0.07939  0.26005  0.45322  0.55494  0.63296
 0.09244  0.30234  0.51859  0.59501  0.65011
 0.09427  0.28160  0.42340  0.51402  0.58013
 0.01621  0.08285  0.33266  0.58718  0.69823
 0.01848  0.09251  0.32577  0.57812  0.69642
 0.01594  0.07992  0.28532  0.52841  0.65512
 0.00480  0.02789  0.20996  0.58724  0.77566
 0.00549  0.03182  0.23614  0.62670  0.80523
 0.00505  0.02936  0.22311  0.62952  0.81653
 0.21030  0.32540  0.47078  0.55764  0.60986
 0.31536  0.48759  0.70112  0.80725  0.85895
 0.07989  0.19466  0.39744  0.59760  0.65828
 0.08523  0.20142  0.36791  0.56106  0.62721
 0.00418  0.02433  0.18559  0.44671  0.54447
 0.02514  0.12702  0.43951  0.55356  0.59624
 0.03016  0.15235  0.52669  0.65994  0.70692
 0.03766  0.19024  0.65637  0.81323  0.86080
 0.08661  0.30466  0.69088  0.82494  0.87743
 0.04956  0.17450  0.39885  0.49482  0.54610
 0.12704  0.28620  0.59593  0.67852  0.71116
 0.11662  0.26333  0.55553  0.66420  0.71495
 0.01607  0.08906  0.44154  0.57890  0.63528
 0.15042  0.27729  0.55716  0.66498  0.71976
 0.17547  0.32341  0.64914  0.77059  0.82945
 0.25345  0.43200  0.74213  0.87669  0.93918
 0.00476  0.02716  0.17118  0.25271  0.25590
 0.11859  0.18942  0.35913  0.40398  0.40812
 0.10826  0.17488  0.35003  0.44312  0.45944
 0.09387  0.18359  0.44335  0.55961  0.57516
 0.25818  0.30187  0.47619  0.50426  0.50849
 0.23337  0.35706  0.58091  0.60341  0.60679
 0.29657  0.44764  0.77082  0.90730  0.93086
 0.26788  0.40849  0.73762  0.91345  0.93767
 0.40131  0.58581  0.84688  0.99003  0.99960
 0.28823  0.35027  0.57955  0.76825  0.82053
 0.25188  0.34800  0.64522  0.80140  0.84483
 0.01687  0.09038  0.41137  0.67555  0.74874
 0.01438  0.07239  0.28948  0.52452  0.61473
 0.00309  0.01815  0.14947  0.42565  0.51804
 0.00248  0.01454  0.11871  0.34447  0.43898
 0.15288  0.37310  0.67504  0.89702  0.96253
 0.30072  0.50954  0.79097  0.92767  0.94130
 0.44453  0.66889  0.83764  0.88014  0.89945
 0.38077  0.54134  0.77035  0.85942  0.88268
 0.05270  0.21202  0.56576  0.86344  0.93431
 0.04875  0.19639  0.52871  0.82854  0.91257
 0.06458  0.24300  0.55902  0.82454  0.90933
 0.05331  0.20680  0.55927  0.85475  0.92144
 0.24193  0.40316  0.78621  0.93686  0.98007
 0.23018  0.40376  0.73494  0.89488  0.94527
 0.22764  0.39016  0.69025  0.89230  0.94521
 0.27006  0.40486  0.67810  0.86485  0.92963
 0.02406  0.11818  0.46282  0.79012  0.85409
 0.00646  0.03775  0.29645  0.74362  0.85537
 0.06151  0.18796  0.38996  0.70480  0.80692
 0.06705  0.20132  0.37726  0.67365  0.78549
 0.00343  0.02028  0.17855  0.60568  0.75651
 0.08425  0.24746  0.40215  0.69919  0.82098
