fit_key,root,root_label,rho,arm,gamma_coefficient,gamma_exponent,gamma,mse,rmse,work,path
ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1,gamma=-1 sweep,0.01,RW-Only,5,-1,0.5,0.149568,0.38674,0.33418,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2
ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1,gamma=-1 sweep,0.01,RW-Only,1,-1,0.1,0.153765,0.392129,0.014,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2
ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1,gamma=-1 sweep,0.01,RW-Only,8,-1,0.8,0.146571,0.382845,0.82676,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2
ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1,gamma=-1 sweep,0.01,RW-Only,2,-1,0.2,0.152694,0.390761,0.05535,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2
ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1,gamma=-1 sweep,0.01,RW-Only,6,-1,0.6000000000000001,0.148554,0.385428,0.47571,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2
ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1,gamma=-1 sweep,0.01,RW-Only,9,-1,0.9,0.145599,0.381574,1.03487,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2
ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1,gamma=-1 sweep,0.01,RW-Only,3,-1,0.30000000000000004,0.151637,0.389407,0.12312,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2
ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1,gamma=-1 sweep,0.01,RW-Only,4,-1,0.4,0.150595,0.388066,0.21636,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2
ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_3,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1,gamma=-1 sweep,0.01,RW-Only,7,-1,0.7000000000000001,0.139945,0.374092,1.07111,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_3
ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_3,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1,gamma=-1 sweep,0.01,RW-Only,5,-1,0.5,0.143029,0.378192,0.52101,figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_m1/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_3
