arm,rho,noise_replicate,n_dropped,split_replicate,ols_intercept,ols_distortion_slope,ols_r_squared,residual_distortion_correlation,residual_mean_t0.167,residual_mean_t1,residual_mean_t10,residual_mean_t60,residual_mean_t120
RW-Only,1.0,0,15,1,0.0130871504953049,-1.1964255343594277,0.5130542578640147,-0.7162780590413294,0.05367321591916922,0.09148773704251394,0.10603431934939836,0.08851445955036362,0.08274185033603992
RW-Only,1.0,0,10,2,0.01559868813568521,-1.1135997027933997,0.4244001837012181,-0.6514600399880397,0.058127753558903754,0.09396941012493734,0.10176342601982871,0.0820396517252472,0.07542629815475667
BV-RW,1.0,0,15,0,0.012503305105239008,-0.20929027791867633,0.02296164276379553,-0.15153099604963824,0.032655436675526305,0.04664000104915521,0.0394673556671276,0.008641053322289784,-0.0024346736324736165
BV-RW,1.0,0,15,1,0.01127256778409806,-0.21857155012023657,0.029360014226438413,-0.17134764143821415,0.02968180704980838,0.04521328496975403,0.03810550730182541,0.009408772873272313,-0.000824335085836897
BV-RW,1.0,0,10,2,0.011258915555274016,-0.22034270458493474,0.02696228795540323,-0.1642019730557566,0.03272442908014345,0.04737210406924353,0.03688012891403748,0.00798088117008937,-0.002707922225522036
RW-BV,1.0,0,15,0,0.015871614804701076,-0.08264026056673321,0.003209965632509304,-0.05665655860100682,0.032114665345094065,0.04266616775683188,0.03330570921553983,0.0027709179027845293,-0.006839363197164692
RW-BV,1.0,0,15,1,0.014140034467592372,0.23995280529437998,0.027038862276328013,0.16443497887106615,0.023213915553429092,0.029786460341929027,0.01056409765772531,-0.025980602748504295,-0.03848610698752178
RW-BV,1.0,0,10,2,0.01391923976151026,-0.02338922888711338,0.00025890896168112576,-0.01609064826789526,0.03137653435246978,0.04166145716167132,0.026995493092563907,-0.006246281529988271,-0.01718992109144112
RW-Only,0.01,0,15,0,0.027382593147596765,-0.9614547353358425,0.9041828705172996,-0.9508853088134759,0.1334679313959454,0.24161422097711094,0.3798917577949887,0.451771573408216,0.46690682318356724
RW-Only,0.01,0,15,1,0.014040920341685928,-1.0096230252134195,0.9378885605561328,-0.9684464675737805,0.1245124220987962,0.23274826453264272,0.3811766021070791,0.46661717196641317,0.4788791762086686
RW-Only,0.01,0,10,2,0.029118239370947836,-0.9449405375687955,0.8597987928448767,-0.9272533595759449,0.1397945250415651,0.24955097830666695,0.37944021144803036,0.44696037054841203,0.454273095208552
BV-RW,0.01,0,15,0,0.0068192182998536265,-0.002584207533522454,0.00010898828668437499,-0.010439745527755966,0.008697555489122344,0.03100345494662583,0.025774164526069822,-0.001965388659091608,-0.025283231624927262
BV-RW,0.01,0,15,1,0.006690250108929289,0.005673395337758927,0.0005995086529629878,0.02448486579426285,0.006836232878491942,0.027012761168632535,0.02206180525587866,-0.003961118105860784,-0.02756649126135923
BV-RW,0.01,0,10,2,0.0075086827825857705,0.004117482942207837,0.00028759288436563946,0.016958563747133695,0.008037223560806429,0.02898556345325596,0.02591877546808179,-0.003568383644938191,-0.02847230587786156
RW-BV,0.01,0,15,0,0.007663606589743871,0.02183155051611063,0.006950495155408798,0.0833696296945648,0.008977895273730548,0.028096708042577797,0.019911200869086598,-0.01395237195369051,-0.03960981637886007
RW-BV,0.01,0,15,1,0.006361576022636446,0.0036263183841652212,0.00020602172236816596,0.01435345680901857,0.008334626405432649,0.027974403333163603,0.022874996438820627,-0.0046330090889112495,-0.02853925604282262
RW-BV,0.01,0,10,2,0.007341781752745049,0.013988632248775506,0.0028440757101778624,0.05332987633754567,0.009135397571779624,0.02827785227234619,0.023213654842455488,-0.010204059778130796,-0.03628113651964616
