ensemble,arm,rho,noise_replicate,split_replicate,split_type,open_population,closed_population,recovery,train_mse,val_mse,train_val_gap,delta_G_opt_kj,delta_H_opt_kj,minus_T_delta_S_opt_kj,delta_H_abs_kj,kl_divergence_nats,beta_C,beta_H,hdxer_work_kj,hdxer_work_gamma,hdxer_work_source,delta_recovery,delta_train_mse,delta_val_mse,delta_train_val_gap,delta_delta_G_opt_kj,delta_open_population,delta_beta_C,delta_beta_H
ISO-Bimodal,RW-Only,1.0,0,1,R3,0.12336569765448749,0.8766343023455125,30.84142441362187,0.009126033995000001,0.012957414947343229,0.0038313809523432274,10.387401565321193,0.2691116242779741,10.5530035370966,0.17564567906156756,0.5284285535468087,0.35,2.0,1.3181,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_2/reweighting_gamma_4x10^0work.dat,0.7687972951298967,0.006520135575500002,0.009842233637929309,0.0033220980624293086,3.8232286029562204,0.003075189180519605,0.0,0.0
ISO-Bimodal,RW-Only,1.0,0,2,R3,0.08520448067510814,0.914795519324892,21.301120168777032,0.006888131986808511,0.015301354045496342,0.00841322205868783,11.202138108994651,0.28237732741506577,11.388952487848938,0.19278872066226632,0.6429850929019192,0.35,2.0,1.60385,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_3/reweighting_gamma_4x10^0work.dat,-7.441733820094221,0.005154173794893618,0.011097321846932143,0.005943148052038525,4.984351692707561,-0.029766935280376883,0.0,0.0
ISO-Bimodal,BV-RW,1.0,0,0,R3,0.07475318642609129,0.9252468135739087,18.68829660652282,0.001697546415714286,0.004955280896603362,0.003257734480889076,3.3474832121434677,0.1083835129897413,3.4122415200539353,0.04589456738838583,0.09427026729032931,0.3666951739669507,2.7060345744021195,0.23515,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_1/reweighting_gamma_4x10^0work.dat,-4.400620535889345,0.00038856971000000027,0.0016440911698619807,0.00125552145986198,-0.8445846826393462,-0.017602482143557363,0.026519188461171572,0.11619833967754856
ISO-Bimodal,BV-RW,1.0,0,1,R3,0.16304240148974763,0.8369575985102523,40.760600372436905,0.002710385887,0.0032319502321833276,0.0005215643451833276,8.148200604375635,0.28518912403298735,8.295420372988797,0.08836101341102182,0.23139955981526866,0.39124255203836605,2.3050122139277467,0.5772,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_2/reweighting_gamma_4x10^0work.dat,9.039689467949291,0.0008688983090000004,0.0006784838584967109,-0.00019041445050328948,1.7490225054099247,0.036158757871797176,0.04166711441153137,-0.2300821229267025
ISO-Bimodal,BV-RW,1.0,0,2,R3,0.1513033511387977,0.8486966488612023,37.825837784699424,0.0019363617106382975,0.004536285899662229,0.002599924189023932,7.733483015532509,0.25127894024310987,7.859080035538124,0.078769050135969,0.16230778900394088,0.3830191439374495,2.2695943704742865,0.40486,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_3/reweighting_gamma_4x10^0work.dat,4.938496109321335,0.0005848969327659573,0.00124254114019926,0.0006576442074333027,1.3215493114481784,0.01975398443728532,0.027858738436765895,0.13144159549248569
ISO-Bimodal,RW-BV,1.0,0,0,R3,0.07687663215545282,0.9231233678445472,19.219158038863203,0.001770185562857143,0.005141924119211715,0.003371738556354572,18.37657700512417,0.7035063843335612,18.5589182398205,1.898207360349989,0.3795342700263188,0.35810824336771296,2.819048330894142,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_analysis_output/calibration_peptide_gamma_0/selected_fits/rho1/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV1_fit_1/reweighting_gamma_3x10^0work.dat,-6.461367066180923,0.0003763406609523811,0.0016724186976347691,0.001296078036682388,3.9320723679838068,-0.025845468264723698,0.016153887574733183,0.3039461750090884
ISO-Bimodal,RW-BV,1.0,0,1,R3,0.07687663215545282,0.9231233678445472,19.219158038863203,0.0027810137564999995,0.0034496448333974994,0.0006686310768974999,15.697895022807794,0.7380759538229987,15.76938890427596,2.627413883180816,0.3795342700263188,0.38680338571171885,2.2727383709995794,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_analysis_output/calibration_peptide_gamma_0/selected_fits/rho1/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV1_fit_2/reweighting_gamma_3x10^0work.dat,-6.461367066180923,0.0007928099514999997,0.0006010727733902583,-0.00019173717810974135,3.2844190834306133,-0.025845468264723698,0.03678247334012047,-0.20556459065817245
ISO-Bimodal,RW-BV,1.0,0,2,R3,0.07687663215545282,0.9231233678445472,19.219158038863203,0.002202544419148936,0.004441236346497973,0.002238691927349037,12.723419861841784,0.6111902194179174,12.79310846694734,2.075871451320288,0.3795342700263188,0.3717423733027167,2.4623685376262006,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_analysis_output/calibration_peptide_gamma_0/selected_fits/rho1/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV1_fit_3/reweighting_gamma_3x10^0work.dat,-6.461367066180923,0.0007017745821276595,0.0012130637428466357,0.0005112891607189762,7.983978812007979,-0.025845468264723698,0.018407102057746372,0.2899437984207176
ISO-Bimodal,RW-Only,0.01,0,0,R3,0.00011850793747299606,0.9998814920625272,0.029626984368249013,0.1357546958152381,0.1681612636626452,0.032406567847407086,28.43085331066397,0.8016182785399996,28.908911321768795,0.16296431411044765,3.1078347018983266,0.35,2.0,7.75212,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_1/reweighting_gamma_3x10^0work.dat,-18.196467223400912,0.13404306750380954,0.16397552562512605,0.029932458121316514,24.42448527666544,-0.07278586889360365,0.0,0.0
ISO-Bimodal,RW-Only,0.01,0,1,R3,0.09939976733649215,0.9006002326635077,24.849941834123037,0.1331989532415,0.17599144849875636,0.04279249525725637,22.7147561248583,0.5549949213505796,23.05343429739988,0.31519303687590333,1.8635594698376712,0.35,2.0,4.64842,2.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2/reweighting_gamma_2x10^0work.dat,-5.222685284368936,0.13059305482199998,0.17287626718934246,0.04228321236734245,16.150583162493326,-0.02089074113747573,0.0,0.0
ISO-Bimodal,RW-Only,0.01,0,2,R3,0.026351820885439397,0.9736481791145607,6.587955221359849,0.11405702480978723,0.19249961975518967,0.07844259494540244,44.75208737034002,1.3237836896458675,45.58901804185577,0.3364100108022353,3.7935895867952207,0.35,2.0,9.46265,2.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_3/reweighting_gamma_2x10^0work.dat,-22.154898767511405,0.11232306661787234,0.18829558755662548,0.07597252093875313,38.53430095405293,-0.08861959507004562,0.0,0.0
ISO-Bimodal,BV-RW,0.01,0,0,R3,0.05142251345195858,0.9485774865480414,12.855628362989643,0.0015033717066666665,0.0034012943742086276,0.0018979226675419612,0.6737179054113933,0.08771015615959135,0.656670770277998,0.021222898505726243,0.05077590753298093,0.6441255255670874,2.8007658086059157,0.12665,5.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_1/reweighting_gamma_5x10^0work.dat,-10.233288779422521,0.00019439500095238074,9.010464746724619e-05,-0.00010429035348513476,-3.5183499893714205,-0.04093315511769007,0.3039495400613082,0.2109295738813448
ISO-Bimodal,BV-RW,0.01,0,1,R3,0.1503506166749974,0.8496493833250026,37.58765416874935,0.0024276654675,0.001995250726415604,-0.000432414741084396,4.003590609409018,0.3764932384139419,3.927571566192869,0.06824778306688625,0.14454119531540613,0.6799638649159286,2.046471421607247,0.36054,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_2/reweighting_gamma_4x10^0work.dat,5.866743264261739,0.0005861778895000004,-0.0005582156472710128,-0.0011443935367710131,-2.395587489556692,0.023466973057046953,0.33038842728909396,-0.48862291524720236
ISO-Bimodal,BV-RW,0.01,0,2,R3,0.12193659742644103,0.8780634025735587,30.484149356610256,0.002359954629787234,0.002355913192416998,-4.041437370236149e-06,2.987894868275961,0.2949648475880352,2.9204371750089306,0.08367982568005478,0.11515154650944875,0.7211974602331415,0.8422087020326879,0.28723,4.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_3/reweighting_gamma_4x10^0work.dat,-2.4031923187678323,0.0010084898519148939,-0.0009378315670459715,-0.0019463214189608653,-3.4240388358083695,-0.009612769275071348,0.36603705473245784,-1.295944072949113
ISO-Bimodal,RW-BV,0.01,0,0,R3,0.04195669871980151,0.9580433012801984,10.489174679950377,0.0017249592847619045,0.0036494328741963496,0.0019244735894344452,51.160110347876426,5.64189588522282,50.02133033966926,19.168711590699058,2.128004493180763,0.6701957208092439,2.216066464632308,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_analysis_output/calibration_peptide_gamma_0/selected_fits/rho0.01/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV1_fit_1/reweighting_gamma_3x10^0work.dat,-15.191350425093749,0.00033111438285714266,0.00017992745261940363,-0.00015118693023773904,36.715605710736064,-0.060765401700375005,0.32824136501626416,-0.29903569125274565
ISO-Bimodal,RW-BV,0.01,0,1,R3,0.04195669871980151,0.9580433012801984,10.489174679950377,0.0033294026045,0.002022245278217529,-0.0013071573262824709,53.04442177421027,5.71957239847095,52.082585174610166,18.731090171170937,2.128004493180763,0.6963443726941476,1.0908693534097493,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_analysis_output/calibration_peptide_gamma_0/selected_fits/rho0.01/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV1_fit_2/reweighting_gamma_3x10^0work.dat,-15.191350425093749,0.0013411987995,-0.000826326781789712,-0.002167525581289712,40.63094583483309,-0.060765401700375005,0.34632346032254924,-1.3874336082480025
ISO-Bimodal,RW-BV,0.01,0,2,R3,0.04195669871980151,0.9580433012801984,10.489174679950377,0.002907855119148936,0.0025146307306209426,-0.0003932243885279934,52.91220256886116,5.752114367157305,51.865195145158346,19.061448920542194,2.128004493180763,0.6925979211597967,1.4047967219900488,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_analysis_output/calibration_peptide_gamma_0/selected_fits/rho0.01/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV1_fit_3/reweighting_gamma_3x10^0work.dat,-15.191350425093749,0.0014070852821276595,-0.0007135418730303948,-0.0021206271551580543,48.172761519027354,-0.060765401700375005,0.33926264991482635,-0.7676280172154342
