arm,rho,n,recovery_mean,recovery_sd,delta_recovery_mean,open_population_mean,train_mse_mean,val_mse_mean,train_val_gap_mean,work_mean,beta_C_mean,beta_H_mean,hdxer_work_mean
BV-RW,0.01,3,26.97581062944975,12.7337977674597,-2.2565792779762046,0.107903242517799,0.002096997267984634,0.0025841527643470767,0.00048715549636244303,2.5550677943654576,0.6817622835720525,1.8964819774152835,0.25814000000000004
BV-RW,1.0,3,32.424911587886385,11.986415278191489,3.192521680460427,0.12969964635154554,0.0021147646711175278,0.004241172342816306,0.0021264076716987785,6.409722277350537,0.3803189566475888,2.426880386268051,0.4057366666666667
BV-RW,1000.0,3,29.232389907425954,5.352273666085252,0.0,0.11692955962970382,0.0015006430205288751,0.003052800286630323,0.0015521572661014475,5.667726565944285,0.34830394287776584,2.42102778218694,0.24538000000000001
RW-BV,0.01,3,10.489174679950377,0.0,-15.19135042509375,0.04195669871980151,0.0026540723361369468,0.002728769627678274,7.469729154132698e-05,52.372244896982615,0.6863793382210628,1.5705775133440352,0.0
RW-BV,1.0,3,19.219158038863203,0.0,-6.461367066180923,0.07687663215545282,0.0022512479128353594,0.00434426843303573,0.00209302052020037,15.599297296591248,0.3722180007940495,2.5180517465066408,0.0
RW-BV,1000.0,3,25.680525105044126,0.0,0.0,0.10272210042017653,0.0016276061813086794,0.0031820833617451747,0.0015544771804364952,10.53247387545045,0.3484368464698495,2.3886099522494297,0.0
RW-Only,0.01,3,10.489174679950379,12.861828884661138,-15.19135042509375,0.04195669871980151,0.12767022462217512,0.17888411063886375,0.05121388601668864,31.96589893528743,0.3499999999999999,2.0,7.28773
RW-Only,1.0,3,19.219158038863203,12.79096401575189,-6.461367066180927,0.07687663215545282,0.007846412245364741,0.014067643993151538,0.006221231747786795,10.62584322154148,0.3499999999999999,2.0,1.4939900000000002
RW-Only,1000.0,3,25.68052510504413,6.489875125589943,0.0,0.10272210042017653,0.0020171616409478217,0.0038349838484990867,0.0018178222075512648,5.596109137550198,0.3499999999999999,2.0,0.29568333333333335
