arm,rho,n,recovery_mean,recovery_sd,delta_recovery_mean,open_population_mean,train_mse_mean,val_mse_mean,train_val_gap_mean,work_mean,beta_C_mean,beta_H_mean
BV-RW,0.01,3,70.08466441616712,2.96725446947396,1.5633883142623688,0.10287485772167064,0.015385528217184205,0.012510361147217652,-0.0028751670699665543,2.241022022055006,0.6772732690005207,3.102535027666717
BV-RW,1.0,3,69.32336644964558,3.0668243416297276,0.8020903477408297,0.09712353896863644,0.01107908928084632,0.011421780599111331,0.0003426913182650107,3.7406534770652797,0.39932414209484984,2.038454803348317
BV-RW,1000.0,3,68.52127610190475,2.313487818391985,0.0,0.09088738743935502,0.009221542430457278,0.010136661104776559,0.0009151186743192799,3.6339766520060057,0.367352204403192,1.9801568824378293
RW-BV,0.01,3,64.00846057012146,0.0,-4.299984815142622,0.05935028292218487,0.016568535417495516,0.013544667783362066,-0.0030238676341334514,73.60157172558291,0.6722438299900126,3.085082090344956
RW-BV,1.0,3,67.74903108460045,0.0,-0.559414300663633,0.08489582806716846,0.011035816382121345,0.011807130803471864,0.0007713144213505191,23.199459000827144,0.3974661624425533,2.0578273300945233
RW-BV,1000.0,3,68.30844538526408,0.0,0.0,0.08896708867000434,0.009284946235629312,0.010261016980343833,0.0009760707447145234,9.52624350488947,0.36575804131514644,2.013801531978389
RW-Only,0.01,3,63.99955949766852,0.8766306310219849,-4.261520993010724,0.05935028292218488,0.2720908675218489,0.25181956922744964,-0.02027129829439926,5.0695401134697855,0.3499999999999999,2.0
RW-Only,1.0,3,67.69711629356169,2.3574450583005597,-0.5639641971175516,0.08489582806716844,0.031994342205509625,0.030042342838586828,-0.001951999366922797,4.576332941881669,0.3499999999999999,2.0
RW-Only,1000.0,3,68.26108049067925,2.281512036801383,0.0,0.08896708867000434,0.011857476901047178,0.011995920784804562,0.00013844388375738233,3.9887195053855233,0.3499999999999999,2.0
