ensemble,arm,rho,noise_replicate,split_replicate,split_type,open_population,closed_population,recovery,train_mse,val_mse,train_val_gap,delta_G_opt_kj,delta_H_opt_kj,minus_T_delta_S_opt_kj,delta_H_abs_kj,kl_divergence_nats,beta_C,beta_H,delta_recovery,delta_train_mse,delta_val_mse,delta_train_val_gap,delta_delta_G_opt_kj,delta_open_population,delta_beta_C,delta_beta_H
ISO-Bimodal,RW-BV,1.0,0,2,R3,0.08489582806716846,0.9151041719328316,67.74903108460045,0.011163403491063829,0.011446010985403625,0.0002826074943397955,25.117774102956083,0.8736646216971247,25.305916882038076,2.8556603252554087,0.03210172194599094,0.40446232182925596,1.8318955445216052,-0.559414300663633,0.0011125541927659577,0.002022784448028874,0.0009102302552629164,13.656854379415526,-0.0040712606028358855,0.03433429928592807,-0.013638643182741772
ISO-Bimodal,RW-Only,0.01,0,0,R3,0.060645474812382645,0.9393545251876174,64.20932593989778,0.25567117917855076,0.266871155915604,0.011199976737053252,4.678712762278197,0.09982129131942301,4.746575127619743,0.08290348234023187,0.09389097418433384,0.35,2.0,-2.108999492889353,0.2459890896628986,0.2524429472841231,0.00645385762122448,1.6021498587918592,-0.014129682714522952,0.0,0.0
ISO-Bimodal,RW-Only,0.01,0,1,R3,0.053214338937946526,0.9467856610620536,63.03707509125162,0.3013846900264286,0.22458316350601287,-0.07680152652041572,5.664917595040072,0.11267508415485632,5.739532051576589,0.09209143782145846,0.10831742415561987,0.35,2.0,-7.73634829555283,0.2879525610504286,0.2146791399158512,-0.07327342113457738,0.20988945668293812,-0.05443109176659143,0.0,0.0
ISO-Bimodal,RW-Only,0.01,0,2,R3,0.06419103501622546,0.9358089649837746,64.75227746185617,0.2592167333605674,0.2640043882607321,0.004787654900164695,4.864989983091087,0.10036373796120027,4.929393025131839,0.0777761874612818,0.08929668753521076,0.35,2.0,-2.939215190589991,0.24675852114907804,0.25234885812796104,0.00559033697888299,1.4304225087779887,-0.020289642762344004,0.0,0.0
ISO-Bimodal,BV-RW,0.01,0,0,R3,0.08038045831834215,0.9196195416816579,67.11808818080871,0.012149354998115942,0.016322413552793985,0.004173058554678043,1.4819318449726817,0.13025963397562976,1.4441969736058757,0.00782837835776422,0.018526713262858145,0.6497744818093031,3.673918936827632,0.5499515339541432,0.004942055914782608,0.003845470829475629,-0.0010965850853069791,-1.0603882109458491,0.003868771884297406,0.2896563339495374,1.4738397742202873
ISO-Bimodal,BV-RW,0.01,0,1,R3,0.12594738446123277,0.8740526155387673,73.05259665499733,0.01852720011457143,0.008697324250328268,-0.009829875864243161,2.8686754317108054,0.2845544527141681,2.786057394026327,0.009791258451453217,0.056862821301918165,0.6942241739784604,2.6266400227449522,1.9764097383202426,0.008083286541142858,0.00034216422742319036,-0.007741122313719668,-2.357036287362688,0.01592668659813319,0.3233772447017345,0.7209710003229315
ISO-Bimodal,BV-RW,0.01,0,2,R3,0.102296730385437,0.897703269614563,70.08330841269532,0.015480029538865247,0.012511345638530702,-0.0029686839003345445,2.3724587894815303,0.2000230507450294,2.315250091655483,0.006922820058467316,0.03171063792102776,0.6878211512137988,3.0070461234275663,2.1638036705127206,0.005466614904255318,0.002933465070424463,-0.0025331498338308552,-0.7614393915444637,0.016166952364516235,0.31672961514071446,1.172323661143444
ISO-Bimodal,RW-BV,0.01,0,0,R3,0.05935028292218487,0.9406497170778152,64.00846057012146,0.012316106227391304,0.01793391752269567,0.005617811295304365,72.34285070464107,5.693451278318512,71.63931339589249,20.04739261986073,0.07015646028182188,0.645913308558986,3.642817183641709,-4.299984815142622,0.005439801546086956,0.005345903792516732,-9.389775357022435e-05,64.57289240447068,-0.029616805747819476,0.2866527961765442,1.4348276560384479
ISO-Bimodal,RW-BV,0.01,0,1,R3,0.05935028292218487,0.9406497170778152,64.00846057012146,0.020900576898428575,0.009240005569405973,-0.011660571329022602,74.30019139184895,5.9497702513113095,73.58429402211495,20.650987058018316,0.07015646028182188,0.6862274820195166,2.6609303688852397,-4.299984815142622,0.00997289217114286,0.0004681948959281562,-0.009504697275214705,64.95233890089149,-0.029616805747819476,0.3183418929998469,0.6730494882576807
ISO-Bimodal,RW-BV,0.01,0,2,R3,0.05935028292218487,0.9406497170778152,64.00846057012146,0.01648892312666667,0.013460080257984553,-0.003028842868682116,74.16167308025871,6.039422688169539,73.39685517134224,21.06887459410124,0.07015646028182188,0.6845906993915354,2.951498718507918,-4.299984815142622,0.006438073828368798,0.004036853720609803,-0.0024012201077589952,62.70075335671815,-0.029616805747819476,0.3144626768482075,1.105964530803571
