ensemble,arm,rho,noise_replicate,split_replicate,split_type,open_population,closed_population,recovery,train_mse,val_mse,train_val_gap,delta_G_opt_kj,delta_H_opt_kj,minus_T_delta_S_opt_kj,delta_H_abs_kj,kl_divergence_nats,beta_C,beta_H,hdxer_work_kj,hdxer_work_gamma,hdxer_work_source,delta_recovery,delta_train_mse,delta_val_mse,delta_train_val_gap,delta_delta_G_opt_kj,delta_open_population,delta_beta_C,delta_beta_H
ISO-Bimodal,RW-Only,1.0,0,1,R3,0.0635656247930435,0.9364343752069564,15.891406198260873,0.011140738944,0.013179236593113621,0.0020384976491136207,2.587763088444287,0.06842409703658497,2.6307735614926817,0.051642476818238935,0.04212093785000436,0.35,2.0,0.10507,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_2/reweighting_gamma_1x10^0work.dat,-0.6991243161301828,0.007986131268000001,0.009897035536438241,0.0019109042684382414,0.8570883490839152,-0.0027964972645207337,0.0,0.0
ISO-Bimodal,RW-Only,1.0,0,2,R3,0.054438458770569784,0.9455615412294301,13.609614692642445,0.008984460652340428,0.015246891988254147,0.006262431335913719,2.936822659656439,0.07479506923672889,2.9837670678375314,0.061670374122977746,0.054091410321977666,0.35,2.0,0.13492,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_3/reweighting_gamma_1x10^0work.dat,-2.602238160010721,0.006884950297446811,0.010847357599271147,0.003962407301824336,1.265783736762231,-0.010408952640042879,0.0,0.0
ISO-Bimodal,BV-RW,1.0,0,0,R3,0.05704452963460092,0.9429554703653992,14.26113240865023,0.0020422955790476193,0.005036821361506859,0.0029945257824592394,1.0767441062100789,0.03234187854683059,1.0963400438348037,0.013446032596237882,0.008224797915738014,0.3666951739669507,2.7060345744021195,0.02052,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_1/reweighting_gamma_1x10^0work.dat,-1.2499768514981202,0.00044456531238095277,0.0015895864825285666,0.0011450211701476139,-0.2295912847419166,-0.0049999074059924875,0.026519188461171572,0.11619833967754856
ISO-Bimodal,BV-RW,1.0,0,1,R3,0.07137550728135561,0.9286244927186444,17.843876820338902,0.003591619326,0.0035221298096271047,-6.948951637289523e-05,1.9642617225187746,0.06487144822547852,1.996495742240617,0.025161886955759626,0.016731198193124575,0.39124255203836605,2.3050122139277467,0.04173,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_2/reweighting_gamma_1x10^0work.dat,0.8387501735001273,0.0012970289365,0.0007521440980587306,-0.0005448848384412694,0.3309552069792223,0.0033550006940005067,0.04166711441153137,-0.2300821229267025
ISO-Bimodal,BV-RW,1.0,0,2,R3,0.07221002954860241,0.9277899704513977,18.0525073871506,0.0024653274523404258,0.004874413365759065,0.002409085913418639,1.9621730944236044,0.06202682176089409,1.991319148256839,0.02252814255455626,0.01258532404454669,0.3830191439374495,2.2695943704742865,0.03139,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_3/reweighting_gamma_1x10^0work.dat,0.6567790621843272,0.0007929410510638302,0.0013094887224596144,0.0005165476713957843,0.21676256092666923,0.0026271162487373073,0.027858738436765895,0.13144159549248569
ISO-Bimodal,RW-BV,1.0,0,0,R3,0.051893847121451016,0.948106152878549,12.973461780362753,0.0019265159971428574,0.005077872246473413,0.0031513562493305555,17.76473627578008,0.7212606927285414,17.910295565895144,2.0773688931411587,0.03255249970667928,0.3631594499851444,2.7630623645495773,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/BV_bench/TeaA_ISO-Bimodal_rho1_n0_RW-BV1_fit_BV_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV1_fit_1/reweighting_gamma_3x10^0work.dat,-2.666520863689037,0.00033954851095238116,0.0012676783084660755,0.0009281297975136946,2.218802345202114,-0.01066608345475615,0.022690348331987686,0.18890666953652113
ISO-Bimodal,RW-BV,1.0,0,1,R3,0.051893847121451016,0.948106152878549,12.973461780362753,0.002972337707,0.003591389079684958,0.0006190513726849578,16.92386119144535,0.8043989445021422,16.995093385815704,2.8403812093252245,0.03255249970667928,0.39006203435803544,2.294482790661475,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/BV_bench/TeaA_ISO-Bimodal_rho1_n0_RW-BV1_fit_BV_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV1_fit_2/reweighting_gamma_3x10^0work.dat,-2.666520863689037,0.0007234817405000001,0.0004648026387108306,-0.0002586791017891695,3.4695340902576923,-0.01066608345475615,0.04057028809143737,-0.23090601941190148
ISO-Bimodal,RW-BV,1.0,0,2,R3,0.051893847121451016,0.948106152878549,12.973461780362753,0.0023941565519148937,0.004329675000953529,0.001935518449038635,13.522991757137536,0.6548606027947468,13.584830609604504,2.289973357644543,0.03255249970667928,0.3789665357606413,2.3504894653727524,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/BV_bench/TeaA_ISO-Bimodal_rho1_n0_RW-BV1_fit_BV_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV1_fit_3/reweighting_gamma_3x10^0work.dat,-2.666520863689037,0.0006799548523404261,0.0008530891505386701,0.000173134298198244,9.231628513382002,-0.01066608345475615,0.024569217466154702,0.19529232243514905
ISO-Bimodal,RW-Only,0.01,0,0,R3,0.007260039927896675,0.9927399600721034,1.8150099819741685,0.14803740613761907,0.16425651240693465,0.01621910626931558,11.99861616868062,0.2993694249597515,12.190809022199671,0.18537517803811215,0.7975071889862523,0.35,2.0,1.98929,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_1/reweighting_gamma_1x10^0work.dat,-12.302554583136985,0.14596283006000002,0.15998246064102933,0.014019630581029313,10.719866373643754,-0.04921021833254794,0.0,0.0
ISO-Bimodal,RW-Only,0.01,0,1,R3,0.06521908481815604,0.934780915181844,16.30477120453901,0.14229325145699998,0.17410680630902403,0.031813554852024056,8.857119978787097,0.21548430393469448,8.98989696095707,0.17234337912987532,0.5067105321747423,0.35,2.0,1.26393,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2/reweighting_gamma_1x10^0work.dat,-0.2857593098520468,0.13913864378099997,0.17082460525234866,0.031685961471348674,7.126445239426725,-0.0011430372394081872,0.0,0.0
ISO-Bimodal,RW-Only,0.01,0,2,R3,0.033176652675220096,0.96682334732478,8.294163168805024,0.1306350152119149,0.1861781336785157,0.055543118466600816,17.37001864053443,0.403654921517575,17.651208370697443,0.2159906944115414,0.9664341667100486,0.35,2.0,2.41065,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_3/reweighting_gamma_1x10^0work.dat,-7.917689683848142,0.12853550485702128,0.18177859928953272,0.053243094432511434,15.69897971764022,-0.031670758735392567,0.0,0.0
ISO-Bimodal,BV-RW,0.01,0,0,R3,0.05073845597006908,0.9492615440299309,12.68461399251727,0.0016622721138095237,0.003447318281145704,0.0017850461673361803,0.15806928787725022,0.02078043167675393,0.1541201825157551,0.004079594897521204,0.002613219848658966,0.6441255255670874,2.8007658086059157,0.00652,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_1/reweighting_gamma_1x10^0work.dat,-2.8264952676310795,6.454184714285716e-05,8.34021674119001e-08,-6.445844497544526e-05,-1.1482661030747452,-0.011305981070524322,0.3039495400613082,0.2109295738813448
ISO-Bimodal,BV-RW,0.01,0,1,R3,0.07475488820917596,0.925245111790824,18.688722052293986,0.0029846012315,0.0021250809956541972,-0.0008595202358458029,1.0120908109541908,0.10233395994277747,0.990341145092547,0.027157470663415974,0.0125530852961499,0.6799638649159286,2.046471421607247,0.03131,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_2/reweighting_gamma_1x10^0work.dat,1.6835954054552111,0.0006900108420000001,-0.0006449047159141769,-0.001334915557914177,-0.6212157045853615,0.006734381621820856,0.33038842728909396,-0.48862291524720236
ISO-Bimodal,BV-RW,0.01,0,2,R3,0.07040512186084909,0.929594878139151,17.60128046521227,0.002738792723829787,0.002520810743009436,-0.00021798198082035106,0.9446328819420288,0.094062860781722,0.9244682692903252,0.0317601529774017,0.01136441874329279,0.7211974602331415,0.8422087020326879,0.02835,1.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_3/reweighting_gamma_1x10^0work.dat,0.20555214024599522,0.0010664063225531916,-0.0010441139002900141,-0.002110520222843206,-0.8007776515549064,0.0008222085609839863,0.36603705473245784,-1.295944072949113
ISO-Bimodal,RW-BV,0.01,0,0,R3,0.0352185924737576,0.9647814075262424,8.8046481184394,0.0016535642076190473,0.0033848492875566205,0.0017312850799375732,57.175522140442766,5.364255251240414,56.21038818127539,18.54559124657531,0.4931599853905694,0.6515251162970142,2.515361157813259,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/BV_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-BV1_fit_BV_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV1_fit_1/reweighting_gamma_3x10^0work.dat,-6.835334525612389,6.659672142857111e-05,-0.00042534465045071653,-0.0004919413718792876,41.6295882098648,-0.027341338102449562,0.31105601464385746,-0.058794537199797325
ISO-Bimodal,RW-BV,0.01,0,1,R3,0.0352185924737576,0.9647814075262424,8.8046481184394,0.0030046675364999997,0.0020046648517325206,-0.001000002684767479,57.61301968088776,5.518996171055193,56.660601706679614,18.85002932059807,0.4931599853905694,0.6700563967352374,2.066533376615486,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/BV_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-BV1_fit_BV_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV1_fit_2/reweighting_gamma_3x10^0work.dat,-6.835334525612389,0.0007558115699999998,-0.0011219215892416066,-0.0018777331592416064,44.1586925797001,-0.027341338102449562,0.32056465046863936,-0.45885543345789026
ISO-Bimodal,RW-BV,0.01,0,2,R3,0.0352185924737576,0.9647814075262424,8.8046481184394,0.002584522489361702,0.0023645012881121424,-0.00022002120124955948,61.526695866467456,5.7710157387966445,60.65651247480475,19.167118325905168,0.4931599853905694,0.7027811061402216,1.1470928691831137,0.0,3.0,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/BV_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-BV1_fit_BV_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV1_fit_3/reweighting_gamma_3x10^0work.dat,-6.835334525612389,0.0008703207897872343,-0.0011120845623027163,-0.0019824053520899505,57.23533262271192,-0.027341338102449562,0.348383787845735,-1.0081042737544896
