arm,rho,n,recovery_mean,recovery_sd,delta_recovery_mean,open_population_mean,train_mse_mean,val_mse_mean,train_val_gap_mean,work_mean,beta_C_mean,beta_H_mean,hdxer_work_mean
BV-RW,0.01,3,16.32487217000784,3.199100186055281,-0.31244924064329105,0.06529948868003138,0.0024618886897131037,0.0026977366732697794,0.00023584798355667544,0.7049309935911566,0.6817622835720525,1.8964819774152835,0.022059999999999996
BV-RW,1.0,3,16.71917220537991,2.131279289554096,0.0818507947287781,0.06687668882151965,0.002699747452462682,0.004477788178964342,0.001778040726501661,1.667726307717486,0.3803189566475888,2.426880386268051,0.031213333333333333
BV-RW,1000.0,3,16.637321410651136,0.9946897876695434,0.0,0.06654928564260454,0.0018549023524810874,0.0032607150779487056,0.0014058127254676183,1.5616841466628275,0.34830394287776584,2.42102778218694,0.02056
RW-BV,0.01,3,8.8046481184394,0.0,-6.835334525612389,0.0352185924737576,0.0024142514111602496,0.0025846718091337615,0.00017042039797351155,58.77174589593266,0.6747875397241577,1.9096624678706196,0.0
RW-BV,1.0,3,12.973461780362753,0.0,-2.666520863689037,0.051893847121451016,0.002431003418685917,0.004332978775703967,0.0019019753570180496,16.070529741454322,0.37739600670127366,2.469344873527935,0.0
RW-BV,1000.0,3,15.63998264405179,0.0,0.0,0.06255993057620717,0.0018500083840883145,0.0034711220764654413,0.0016211136923771265,11.097208091840386,0.34811938873808046,2.418247216008012,0.0
RW-Only,0.01,3,8.8046481184394,7.258356648345983,-6.835334525612391,0.0352185924737576,0.1403218909355113,0.17484715079815813,0.03452525986264682,12.741918262667383,0.3499999999999999,2.0,1.8879566666666667
RW-Only,1.0,3,12.973461780362753,3.2825826711692883,-2.666520863689039,0.05189384712145101,0.009982216219415063,0.014136003573144594,0.004153787353729529,3.0710815825931674,0.3499999999999999,2.0,0.13788999999999998
RW-Only,1000.0,3,15.639982644051791,1.331978527675577,0.0,0.06255993057620717,0.002442898036170888,0.003985262403854565,0.0015423643676836772,1.560154485763815,0.3499999999999999,2.0,0.024173333333333335
