arm,rho,noise_replicate,n_dropped,split_replicate,ols_intercept,ols_distortion_slope,ols_r_squared,residual_distortion_correlation,residual_mean_t0.167,residual_mean_t1,residual_mean_t10,residual_mean_t60,residual_mean_t120
RW-Only,1.0,0,15,1,0.015205881357988185,-1.2259609768577455,0.49788247816396436,-0.7056078784735644,0.057733119810151314,0.09679749322825351,0.11140176158306278,0.091130303721311,0.08479599469792601
RW-Only,1.0,0,10,2,0.015387619462372755,-1.200560866431254,0.4712914281529099,-0.6865066847110162,0.06123083286157333,0.09807889937735915,0.10900303678085742,0.08747411943099555,0.08051433820464236
BV-RW,1.0,0,15,0,0.013150685385360501,-0.21537647964145193,0.02307981639055645,-0.15192042782508422,0.03403152155995822,0.048619509116435686,0.040807336822014456,0.008940048312708134,-0.0023762062703243385
BV-RW,1.0,0,15,1,0.01295163076009926,-0.2151456275539727,0.02375645161864015,-0.154131280467789,0.03344172199517371,0.048282031662082205,0.040434336628372404,0.00896893602472257,-0.002168976631551594
BV-RW,1.0,0,10,2,0.012498210009482093,-0.22027935886695163,0.02357224727188445,-0.15353256095006101,0.03584898256542629,0.0500639746095379,0.039192070506858016,0.007379833950222141,-0.004057729586949904
RW-BV,1.0,0,15,0,0.015449701384317838,-0.07466067294919648,0.0025597368642362728,-0.05059384215728426,0.032688500123130876,0.04304946081944891,0.0327889125677523,0.0009780692082565735,-0.009977538084611675
RW-BV,1.0,0,15,1,0.014261762313309402,0.2693103303181868,0.032413444273670655,0.18003734133137655,0.02378277971221009,0.02916962611689774,0.008696150208455844,-0.028576369029654394,-0.04212612955330259
RW-BV,1.0,0,10,2,0.013476372347965898,-0.0013191003744027052,7.989271372244033e-07,-0.0008938272412259662,0.031700533491938694,0.04148452907979561,0.025421838619941208,-0.009222432058361076,-0.021607761907747318
RW-Only,0.01,0,15,0,0.02214881482521495,-0.989560048689627,0.934181461804018,-0.9665306315911661,0.1289823543518382,0.2364498871737099,0.3888099974807171,0.46291351003182357,0.4752497400620908
RW-Only,0.01,0,15,1,0.018596633438377728,-1.0104246605977238,0.946366685612113,-0.9728137980169239,0.12694732220193178,0.2358239901561038,0.3902827967484057,0.4712282036394231,0.48371118203755453
RW-Only,0.01,0,10,2,0.02053064641851574,-0.9926244228374815,0.9307687210814062,-0.9647635570860905,0.13317627774419327,0.24395250817447597,0.39064434671681453,0.4632531244114178,0.4729811209575837
BV-RW,0.01,0,15,0,0.007412398842537634,-0.0025172259962038535,9.980868561709766e-05,-0.009990429701327935,0.009202324440443164,0.03170284213889358,0.02695333239282769,-0.0017062940830091914,-0.0250668073102565
BV-RW,0.01,0,15,1,0.00734984008684323,0.0001279958235790394,2.692725701303189e-07,0.0005189148004264616,0.00855515476922715,0.030530622050853374,0.025712998223602342,-0.0023553643329136805,-0.025898792156855185
BV-RW,0.01,0,10,2,0.008134759424438087,-0.0005767510717792563,5.107415998906184e-06,-0.0022599592914491306,0.009664916434836435,0.03182169562594397,0.02907221308359078,-0.0019895431502177626,-0.026965039580970927
RW-BV,0.01,0,15,0,0.007732190124885156,0.014383413834839282,0.0032333737693043263,0.05686276258945367,0.008492462762415503,0.0294647291075214,0.022692445354716064,-0.009803972782161429,-0.035174415866258905
RW-BV,0.01,0,15,1,0.0073245558071446315,0.019012794944449782,0.005957989087982063,0.07718801129697651,0.0072693160203718705,0.027337997375944414,0.019898830519841832,-0.011492375147452999,-0.036780054241267214
RW-BV,0.01,0,10,2,0.007274348249130649,0.020452274724105546,0.0066468532152172966,0.08152823569302409,0.00686634012067054,0.02606460971424363,0.020285180311393623,-0.011840830239960288,-0.03799824846406811
