 0.25005  0.25027  0.25266  0.26561  0.28038
 0.20004  0.20023  0.20225  0.21318  0.22569
 0.14293  0.14329  0.14709  0.16747  0.19026
 0.00479  0.02437  0.10060  0.19403  0.24832
 0.00013  0.00072  0.00712  0.04145  0.08008
 0.00609  0.03101  0.12791  0.24620  0.31454
 0.00516  0.02626  0.10849  0.20984  0.26917
 0.00953  0.04849  0.19866  0.37313  0.46734
 0.00833  0.04236  0.17313  0.32258  0.40183
 0.00165  0.00923  0.08200  0.30729  0.42555
 0.00005  0.00031  0.00305  0.01805  0.03558
 0.00049  0.00284  0.02717  0.13422  0.21921
 0.00052  0.00303  0.02896  0.14098  0.22761
 0.00072  0.00418  0.04004  0.19705  0.32029
 0.00990  0.05036  0.19999  0.32089  0.39748
 0.00054  0.00308  0.02982  0.15607  0.26821
 0.11826  0.19604  0.46471  0.59042  0.61296
 0.10973  0.18978  0.49675  0.68046  0.73185
 0.05785  0.25592  0.52575  0.62364  0.69091
 0.04593  0.17485  0.40883  0.66686  0.72295
 0.06320  0.23863  0.51870  0.75599  0.79669
 0.06178  0.21068  0.33516  0.49214  0.52657
 0.00374  0.02118  0.14085  0.32014  0.42174
 0.00412  0.02332  0.15103  0.30808  0.38687
 0.00310  0.01754  0.11381  0.23424  0.29648
 0.00024  0.00137  0.01304  0.06397  0.10355
 0.00028  0.00157  0.01496  0.07348  0.11907
 0.02243  0.09704  0.28364  0.42375  0.47122
 0.02412  0.10718  0.34888  0.48778  0.52997
 0.04197  0.17754  0.43992  0.55651  0.60579
 0.09824  0.22890  0.55432  0.78774  0.81563
 0.08724  0.15986  0.40226  0.68959  0.74251
 0.00466  0.02515  0.16320  0.42378  0.54868
 0.00444  0.02372  0.14709  0.37889  0.50827
 0.00465  0.02479  0.14971  0.36445  0.48505
 0.00994  0.05435  0.28875  0.49133  0.51290
 0.00855  0.04674  0.24894  0.42953  0.45592
 0.00996  0.05443  0.28948  0.49549  0.52084
 0.01029  0.05596  0.27177  0.40619  0.42568
 0.00163  0.00908  0.07672  0.25319  0.34506
 0.00181  0.01031  0.08582  0.25881  0.33626
 0.00156  0.00890  0.07412  0.22519  0.29487
 0.00046  0.00264  0.02548  0.13100  0.22368
 0.00052  0.00302  0.02908  0.14840  0.25121
 0.00048  0.00278  0.02682  0.13860  0.23788
 0.11460  0.17887  0.31869  0.45092  0.47333
 0.17190  0.26826  0.47756  0.67361  0.70447
 0.00969  0.04951  0.18974  0.31982  0.40964
 0.01038  0.05294  0.19697  0.30314  0.37840
 0.00042  0.00232  0.02224  0.11560  0.19762
 0.00243  0.01399  0.11768  0.36123  0.44923
 0.00291  0.01678  0.14115  0.43308  0.53828
 0.00364  0.02096  0.17626  0.54026  0.67068
 0.00954  0.05077  0.29106  0.58295  0.70411
 0.00546  0.02905  0.16669  0.33534  0.40678
 0.02004  0.08786  0.27537  0.51936  0.60479
 0.01838  0.08063  0.25331  0.48127  0.56445
 0.00174  0.00908  0.08198  0.33332  0.45483
 0.02606  0.10921  0.26789  0.49172  0.56487
 0.03040  0.12740  0.31246  0.57319  0.65805
 0.04466  0.18570  0.41981  0.67577  0.75042
 0.00046  0.00262  0.02487  0.11672  0.17919
 0.04086  0.10532  0.18355  0.31791  0.36428
 0.03719  0.09600  0.16931  0.30275  0.35655
 0.03009  0.08034  0.17570  0.37806  0.45166
 0.09808  0.24144  0.29769  0.43003  0.48097
 0.08136  0.20854  0.34717  0.54224  0.58476
 0.09953  0.24801  0.43827  0.69078  0.78055
 0.08968  0.22375  0.39957  0.64876  0.74929
 0.16126  0.34399  0.57784  0.77813  0.85592
 0.11637  0.26045  0.34521  0.50649  0.59032
 0.06130  0.20619  0.34042  0.56358  0.65594
 0.00165  0.00937  0.08329  0.30908  0.42645
 0.00140  0.00802  0.06707  0.21907  0.30031
 0.00029  0.00170  0.01656  0.08975  0.16023
 0.00023  0.00136  0.01326  0.07153  0.12718
 0.01884  0.09537  0.36295  0.57996  0.68835
 0.13607  0.24931  0.49974  0.70840  0.80256
 0.22425  0.38369  0.65926  0.80473  0.84165
 0.24381  0.35918  0.52886  0.73112  0.77621
 0.00555  0.03033  0.20017  0.46197  0.58182
 0.00513  0.02806  0.18539  0.43004  0.54410
 0.00695  0.03751  0.23074  0.47773  0.57103
 0.00571  0.03088  0.19574  0.45246  0.57557
 0.07523  0.20908  0.38994  0.69229  0.79771
 0.05642  0.18167  0.39184  0.65405  0.74569
 0.05618  0.18027  0.37931  0.61194  0.70185
 0.06986  0.21886  0.39647  0.60325  0.68870
 0.00239  0.01349  0.10980  0.34378  0.48223
 0.00062  0.00356  0.03447  0.18207  0.31646
 0.00698  0.03676  0.18111  0.31586  0.40307
 0.00763  0.04013  0.19436  0.31558  0.38837
 0.00033  0.00188  0.01849  0.10385  0.19256
 0.00962  0.05052  0.23949  0.35294  0.41147
