ensemble,arm,rho,noise_replicate,split_replicate,split_type,open_population,closed_population,recovery,train_mse,val_mse,train_val_gap,delta_G_opt_kj,delta_H_opt_kj,minus_T_delta_S_opt_kj,delta_H_abs_kj,kl_divergence_nats,beta_C,beta_H,delta_recovery,delta_train_mse,delta_val_mse,delta_train_val_gap,delta_delta_G_opt_kj,delta_open_population,delta_beta_C,delta_beta_H
ISO-Bimodal,RW-Only,1.0,0,1,R3,0.05127426234507597,0.9487257376549241,62.72266985774883,0.0119125272595,0.013288239383009307,0.0013757121235093064,0.26992569753889883,0.007157919719736055,0.2744288039084583,0.005402469291338184,0.00046161870565454533,0.35,2.0,-0.04635705364187004,0.008552747488000001,0.009956361503306432,0.0014036140153064311,0.09049693761061417,-0.0002846237825894285,0.0,0.0
ISO-Bimodal,RW-Only,1.0,0,2,R3,0.05026985020902531,0.9497301497909748,62.55842940738753,0.009831971038723405,0.015410831147408743,0.005578860108685338,0.31042105457832225,0.007981740893217647,0.31540414289132973,0.006608203364529853,0.0006085016811670379,0.35,2.0,-0.1864424876080264,0.007595074791914895,0.01094886707158229,0.003353792279667395,0.13806819673211007,-0.0011406667474189239,0.0,0.0
ISO-Bimodal,BV-RW,1.0,0,0,R3,0.05072205550307671,0.9492779444969233,62.63249983670558,0.002186586473333334,0.005064070082277288,0.002877483608943954,0.11613543416354719,0.0034352481343919304,0.11824017968364418,0.0014346166933592208,9.248759277448085e-05,0.3666951739669507,2.7060345744021195,-0.08205731999706956,0.00046204925952380953,0.0015731990242372272,0.0011111497647134177,-0.023669393645732673,-0.0005024472984782868,0.026519188461171572,0.11619833967754856
ISO-Bimodal,BV-RW,1.0,0,1,R3,0.05189668405418358,0.9481033159458164,62.82394019186075,0.0038952818984999997,0.003593921671654738,-0.00030136022684526184,0.2102273118367079,0.0063618401932373095,0.21335701541732538,0.0026261927631674614,0.00017496688804880979,0.39124255203836605,2.3050122139277467,0.03241350374973706,0.0014273053985000002,0.0007606454592625407,-0.0006666599392374595,0.032911775420780526,0.00019947494700810892,0.04166711441153137,-0.2300821229267025
ISO-Bimodal,BV-RW,1.0,0,2,R3,0.0520285564529716,0.9479714435470286,62.84534714814857,0.002660339505957447,0.0049677480067681825,0.0023074085008107357,0.21105197380132562,0.006160388588787004,0.213874421798866,0.002363830759699454,0.00013383947389600706,0.3830191439374495,2.2695943704742865,0.029167737709215658,0.0008633845140425536,0.0013234659893700752,0.0004600814753275217,0.023157443373269943,0.00017965479566893483,0.027858738436765895,0.13144159549248569
ISO-Bimodal,RW-BV,1.0,0,0,R3,0.04996937377794516,0.950030626222055,62.509096353632955,0.0019918487638095244,0.004996608917700175,0.0030047601538906506,16.779891089760863,0.7201580041107775,16.90355196787927,2.165380201013672,0.0003840549960070852,0.36625559796460655,2.7137185334747183,-0.20323162455888166,0.0003306633557142865,0.0010835539500725529,0.0007528905943582666,0.8080529834488601,-0.0012414589365546055,0.026060310265637432,0.1252244461045744
ISO-Bimodal,RW-BV,1.0,0,1,R3,0.04996937377794516,0.950030626222055,62.509096353632955,0.0030295990705,0.003626394138319662,0.000596795067819662,17.381070334788497,0.8268027101756479,17.45168548404613,2.9116867044084858,0.0003840549960070852,0.3911258328859779,2.303802585851441,-0.20323162455888166,0.0006865194115000003,0.0004174842949070624,-0.00026903511659293793,3.6634086694067776,-0.0012414589365546055,0.041568167681334256,-0.2305528926360707
ISO-Bimodal,RW-BV,1.0,0,2,R3,0.04996937377794516,0.950030626222055,62.509096353632955,0.002454878770638298,0.004287845264765824,0.001832966494127526,14.407472848264927,0.6738657673344024,14.47399913231976,2.3711965873868017,0.0003840549960070852,0.38255063707655396,2.279444742702669,-0.20323162455888166,0.000665551852340426,0.0007352590982572511,6.970724591682511e-05,10.363669983270508,-0.0012414589365546055,0.0274812799587828,0.13917438030699936
ISO-Bimodal,RW-Only,0.01,0,0,R3,0.04092993479226976,0.9590700652077303,60.978156833784006,0.16334130267,0.16437311098256274,0.0010318083125627486,1.8459944403393909,0.04546474715647998,1.8772755935932874,0.027144265859128616,0.013923663738263179,0.35,2.0,-1.644697167384841,0.16110799599,0.16007159076476268,-0.001036405225237322,1.704227260345309,-0.0097331602671199,0.0,0.0
ISO-Bimodal,RW-Only,0.01,0,1,R3,0.050962338646622286,0.9490376613533777,62.67177344174091,0.151597946476,0.17478708631357573,0.02318913983757573,0.8030071946501796,0.02084745144321508,0.816321226504511,0.017998853217589286,0.0056115201494007245,0.35,2.0,-0.09725346964979309,0.1482381667045,0.17145520843387285,0.023217041729372855,0.6235784347218949,-0.000596547481043111,0.0,0.0
ISO-Bimodal,RW-Only,0.01,0,2,R3,0.04695983418809391,0.9530401658119063,62.00973657758586,0.1447662339506383,0.1858422244771149,0.04107599052647659,1.1737582726754647,0.028245346160906935,1.1919439562283978,0.022780055498535234,0.008264469091532427,0.35,2.0,-0.7351353174096928,0.1425293377038298,0.18138026040128846,0.03885092269745865,1.0014054148292526,-0.004450682768350325,0.0,0.0
ISO-Bimodal,BV-RW,0.01,0,0,R3,0.05008931545087649,0.9499106845491235,62.528799827879446,0.0017077287761904762,0.00345636524888115,0.0017486364726906737,0.016912739821789178,0.0022181170476414367,0.016499668307913627,0.00040113404424151967,2.8409163169858862e-05,0.6441255255670874,2.8007658086059157,-0.1857573288232004,-1.6808437619048088e-05,-3.450580915891066e-05,-1.7697371539862573e-05,-0.12289208798749068,-0.001135187350678503,0.3039495400613082,0.2109295738813448
ISO-Bimodal,BV-RW,0.01,0,1,R3,0.052301835854753245,0.9476981641452469,62.8896545132136,0.0032144283975,0.00218330657343692,-0.0010311218240630802,0.09683712073553069,0.010279193128818372,0.09469825978841696,0.003104147202822954,0.00013676787909311394,0.6799638649159286,2.046471421607247,0.098127825102587,0.0007464518975000005,-0.0006499696389552774,-0.0013964215364552779,-0.08047841568039668,0.0006046267475777745,0.33038842728909396,-0.48862291524720236
ISO-Bimodal,BV-RW,0.01,0,2,R3,0.05200592783685331,0.9479940721631468,62.84167504131637,0.0029182796263829787,0.0025940380353509673,-0.0003242415910320114,0.0971720525036073,0.009991562848738483,0.09518969549559005,0.003633075141096189,0.00013220451603914295,0.7211974602331415,0.8422087020326879,0.02549563087701756,0.0011213246344680854,-0.00105024398204714,-0.0021715686165152256,-0.09072247792444837,0.0001570261795506428,0.36603705473245784,-1.295944072949113
ISO-Bimodal,RW-BV,0.01,0,0,R3,0.04628403587566198,0.9537159641243381,61.89624960784781,0.0016519925395238097,0.003678705375611191,0.0020267128360873816,59.375164581615806,5.31379482896122,58.42185679522826,18.475670700175048,0.005497535231054968,0.6454409108603648,2.7471826939415176,-0.8160783703440302,-9.192868571428203e-06,-0.00023434959201643112,-0.00022515672344500248,43.4033264753038,-0.004926796838837781,0.3052456231613957,0.15868860657137374
ISO-Bimodal,RW-BV,0.01,0,1,R3,0.04628403587566198,0.9537159641243381,61.89624960784781,0.0030582959435,0.001999160984277006,-0.0010591349592229938,62.0800624824775,5.626254293620084,61.12018637820287,19.234764252221215,0.005497535231054968,0.6788660827344123,2.053876320373062,-0.8160783703440302,0.0007152162845000002,-0.0012097488591355935,-0.0019249651436355937,48.36240081709578,-0.004926796838837781,0.32930841752976864,-0.4804791581144494
ISO-Bimodal,RW-BV,0.01,0,2,R3,0.04628403587566198,0.9537159641243381,61.89624960784781,0.002604643760851064,0.002408360816568609,-0.00019628294428245463,64.87341319884574,5.924345367486941,64.04900515417113,19.50025932190225,0.005497535231054968,0.7184127826347687,0.8639423043807234,-0.8160783703440302,0.0008153168425531917,-0.0011442253499399637,-0.0019595421924931554,60.82961033385132,-0.004926796838837781,0.36334342551699755,-1.276328058014946
