rho,arm,calc_name,old_gamma,selected_gamma,score,source
1.0,RW-Only,train_TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_3,1.0,4.0,0.7722024544020394,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-Only0_fit_3/reweighting_gamma_4x10^0work.dat
1.0,BV-RW,train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_1,1.0,4.0,0.7693471849133773,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_1/reweighting_gamma_4x10^0work.dat
1.0,BV-RW,train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_2,1.0,4.0,0.7840561355521954,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_2/reweighting_gamma_4x10^0work.dat
1.0,BV-RW,train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_3,1.0,4.0,0.7804996204166443,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_BV-RW1_fit_3/reweighting_gamma_4x10^0work.dat
1.0,RW-BV,train_TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_1,1.0,4.0,0.7597345863505454,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_1/reweighting_gamma_4x10^0work.dat
1.0,RW-BV,train_TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_2,1.0,4.0,0.780480779569271,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_2/reweighting_gamma_4x10^0work.dat
1.0,RW-BV,train_TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_3,1.0,4.0,0.7722024544020394,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho1/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho1_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho1_n0_RW-BV0_fit_3/reweighting_gamma_4x10^0work.dat
0.01,RW-Only,train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_1,1.0,3.0,0.7798282897618203,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_1/reweighting_gamma_3x10^0work.dat
0.01,RW-Only,train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2,1.0,2.0,0.8561027334710289,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_2/reweighting_gamma_2x10^0work.dat
0.01,RW-Only,train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_3,1.0,2.0,0.8655203525186984,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-Only0_fit_3/reweighting_gamma_2x10^0work.dat
0.01,BV-RW,train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_1,1.0,5.0,0.788277712407229,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_1/reweighting_gamma_5x10^0work.dat
0.01,BV-RW,train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_2,1.0,4.0,0.7848659524044637,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_2/reweighting_gamma_4x10^0work.dat
0.01,BV-RW,train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_3,1.0,4.0,0.7736250527348006,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_BV-RW1_fit_3/reweighting_gamma_4x10^0work.dat
0.01,RW-BV,train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_1,1.0,3.0,0.7798282897618203,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_1/reweighting_gamma_3x10^0work.dat
0.01,RW-BV,train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_2,1.0,2.0,0.8561027334710289,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_2/reweighting_gamma_2x10^0work.dat
0.01,RW-BV,train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_3,1.0,2.0,0.8655203525186984,/home/alexi/Documents/ValDX/figure_scripts/kinetic_simulation/_fits_peptide_calibration_gamma_0/ISO-Bimodal/split-R3/rho0.01/n0/data/Sweep-Methods/TeaA_ISO-Bimodal_rho0.01_n0/Benchmark/RW_bench/TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_RW_bench_R3_k_sequence/train_TeaA_ISO-Bimodal_rho0.01_n0_RW-BV0_fit_3/reweighting_gamma_2x10^0work.dat
